"","venue","mean","mids","type"
"7","Green Park",0,-0.5,"below"
"9","Holkar Cricket Stadium",0.111111111111111,-0.388888888888889,"below"
"10","JSCA International Stadium Complex",0.285714285714286,-0.214285714285714,"below"
"18","Saurashtra Cricket Association Stadium",0.3,-0.2,"below"
"19","Sawai Mansingh Stadium",0.319148936170213,-0.180851063829787,"below"
"13","Maharashtra Cricket Association Stadium",0.333333333333333,-0.166666666666667,"below"
"20","Shaheed Veer Narayan Singh International Stadium",0.333333333333333,-0.166666666666667,"below"
"5","Eden Gardens",0.38961038961039,-0.11038961038961,"below"
"4","Dr DY Patil Sports Academy",0.411764705882353,-0.0882352941176471,"below"
"16","Rajiv Gandhi Intl. Cricket Stadium",0.421875,-0.078125,"below"
"11","M Chinnaswamy Stadium",0.428571428571429,-0.0714285714285715,"below"
"15","Punjab Cricket Association Stadium, Mohali",0.428571428571429,-0.0714285714285715,"below"
"24","All Venues",0.442962962962963,-0.0570370370370371,"below"
"1","ACA-VDCA Stadium",0.461538461538462,-0.0384615384615384,"below"
"6","Feroz Shah Kotla Ground",0.465753424657534,-0.0342465753424658,"below"
"23","Wankhede Stadium",0.493150684931507,-0.00684931506849318,"below"
"17","Sardar Patel Stadium, Motera",0.5,0,"above"
"3","Brabourne Stadium",0.545454545454545,0.0454545454545454,"above"
"8","Himachal Pradesh Cricket Association Stadium",0.555555555555556,0.0555555555555556,"above"
"2","Barabati Stadium",0.571428571428571,0.0714285714285714,"above"
"14","Nehru Stadium",0.6,0.1,"above"
"12","M. A. Chidambaram Stadium",0.614035087719298,0.114035087719298,"above"
"21","Subrata Roy Sahara Stadium",0.647058823529412,0.147058823529412,"above"
"22","Vidarbha Cricket Association Stadium, Jamtha",0.666666666666667,0.166666666666667,"above"
